Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Eric Paschall (17075009),Eric Paschall,17075009,PF/C/F/UTIL,3000,GS@CLE 04/15/2021 08:00PM ET,GS,16.06
PG/SG,Mychal Mulder (17075013),Mychal Mulder,17075013,PG/SG/G/UTIL,3000,GS@CLE 04/15/2021 08:00PM ET,GS,6.61
PF,Jared Dudley (17074966),Jared Dudley,17074966,PF/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,LAL,3.75
PF,Alfonzo McKinnie (17074969),Alfonzo McKinnie,17074969,PF/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,LAL,5.08
PF/C,Devontae Cacok (17074972),Devontae Cacok,17074972,PF/C/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,LAL,5.83
PF,Kostas Antetokounmpo (17074976),Kostas Antetokounmpo,17074976,PF/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,LAL,2.69
PF/C,Luke Kornet (17075017),Luke Kornet,17075017,PF/C/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,8.03
PF,Semi Ojeleye (17075021),Semi Ojeleye,17075021,PF/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,10.37
C,Tacko Fall (17075024),Tacko Fall,17075024,C/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,8.18
PF/C,Moritz Wagner (17075026),Moritz Wagner,17075026,PF/C/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,12.54
PG/SG,Carsen Edwards (17075030),Carsen Edwards,17075030,PG/SG/G/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,6.90
PG,Payton Pritchard (17075034),Payton Pritchard,17075034,PG/G/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,13.71
SF/PF,Grant Williams (17075037),Grant Williams,17075037,SF/PF/F/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,11.34
PG,Tremont Waters (17075041),Tremont Waters,17075041,PG/G/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,7.8
SG,Aaron Nesmith (17075044),Aaron Nesmith,17075044,SG/G/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,7.76
SG/SF,Romeo Langford (17075047),Romeo Langford,17075047,SG/SF/F/G/UTIL,3000,BOS@LAL 04/15/2021 10:00PM ET,BOS,7.42
SG/SF,E'Twaun Moore (17074979),E'Twaun Moore,17074979,SG/SF/F/G/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,PHO,9.92
PG/SG,Langston Galloway (17074984),Langston Galloway,17074984,PG/SG/G/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,PHO,7.80
PF/C,Frank Kaminsky (17074988),Frank Kaminsky,17074988,PF/C/F/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,PHO,14.95
SF/PF,Abdel Nader (17074992),Abdel Nader,17074992,SF/PF/F/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,PHO,12.65
C,Jalen Smith (17074996),Jalen Smith,17074996,C/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,PHO,2.55
C,Damian Jones (17075052),Damian Jones,17075052,C/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,SAC,7.27
C,Chris Silva (17075054),Chris Silva,17075054,C/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,SAC,6.23
SF,Justin James (17075056),Justin James,17075056,SF/F/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,SAC,3.59
SG/SF,Robert Woodard II (17075059),Robert Woodard II,17075059,SG/SF/F/G/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,SAC,3.25
PG/SG,Jahmi'us Ramsey (17075064),Jahmi'us Ramsey,17075064,PG/SG/G/UTIL,3000,SAC@PHO 04/15/2021 10:00PM ET,SAC,3.1
