slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
caulewi01,Willie Cauley-Stein,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,776,3,4,0,0,2,3,2,2,1,0,1,0,6,7.0
hoardja01,Jaylen Hoard,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,800,4,5,0,0,0,0,1,3,0,1,0,1,2,6.9
carteje01,Jevon Carter,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,989,3,5,3,4,0,0,0,1,0,1,0,1,1,6.6
craigto01,Torrey Craig,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,1039,2,4,0,2,0,0,1,6,3,0,1,0,2,6.5
millspa01,Paul Millsap,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,742,3,9,1,4,2,2,1,2,2,0,1,0,2,6.5
scottmi01,Mike Scott,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,LOSS,1296,3,4,0,0,2,2,0,1,2,1,0,1,4,6.5
nunnke01,Kendrick Nunn,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,2024,4,10,1,5,0,0,0,5,3,1,0,1,2,6.4
maledth01,Théo Maledon,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,2164,3,10,2,4,1,2,0,2,7,0,0,2,0,6.3
onealro01,Royce O'Neale,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,1570,1,3,0,2,0,0,3,10,1,1,0,0,2,6.3
robindu01,Duncan Robinson,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,1658,4,9,2,7,0,0,0,2,1,0,0,0,1,6.2
sumneed01,Edmond Sumner,INDIANA PACERS,HOME,OKLAHOMA CITY THUNDER,WIN,1515,4,8,2,3,0,0,0,2,1,0,1,1,2,6.2
willilo02,Lou Williams,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1462,3,10,0,1,5,5,1,1,4,0,0,2,2,6.2
griffbl01,Blake Griffin,BROOKLYN NETS,AWAY,TORONTO RAPTORS,LOSS,1168,3,6,0,2,3,5,0,4,2,0,1,2,1,6.1
okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1427,3,6,0,1,1,2,3,1,1,1,0,0,4,6.1
stewais01,Isaiah Stewart,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,955,3,6,0,0,1,2,1,5,2,1,0,1,3,6.0
harklma01,Maurice Harkless,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1535,3,4,1,1,0,0,0,0,1,2,0,1,3,5.9
doziepj01,PJ Dozier,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1518,3,10,1,5,0,0,3,4,2,1,1,1,2,5.8
gibsota01,Taj Gibson,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,525,2,2,0,0,0,0,1,2,0,1,0,0,0,5.7
walkelo01,Lonnie Walker,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,1083,2,5,1,3,2,2,0,0,2,0,0,0,0,5.7
olynyke01,Kelly Olynyk,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,1435,4,7,2,4,0,1,2,5,0,0,0,2,4,5.6
robyis01,Isaiah Roby,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,1671,3,6,1,1,0,0,0,3,3,1,0,0,6,5.6
bogdabo02,Bojan Bogdanović,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,1391,4,13,3,8,3,4,0,0,4,1,0,4,1,5.5
martike04,Kenyon Martin,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,1753,2,6,0,3,2,2,0,3,0,1,2,0,1,5.5
simonan01,Anfernee Simons,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,905,3,4,3,4,0,2,0,0,1,0,0,1,2,5.5
saricda01,Dario Šarić,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,1107,2,4,0,2,3,3,0,1,3,0,0,0,5,5.4
harrish01,Shaquille Harrison,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,864,2,4,0,1,1,1,0,0,1,2,0,0,1,5.3
johnske04,Keldon Johnson,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,1617,3,8,2,4,1,2,1,5,1,0,0,1,2,5.3
riverau01,Austin Rivers,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,798,1,2,1,1,2,2,1,2,0,0,0,0,0,5.3
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,LOSS,2163,7,25,2,14,2,2,0,7,8,1,0,6,2,5.2
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,LOSS,2266,5,20,0,7,4,4,2,2,0,3,0,1,2,5.2
holidju01,Justin Holiday,INDIANA PACERS,HOME,OKLAHOMA CITY THUNDER,WIN,1924,2,9,2,7,0,0,0,3,3,2,2,1,2,5.1
jonesty01,Tyus Jones,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,610,2,2,0,0,0,0,0,0,3,0,0,0,1,5.1
bongais01,Isaac Bonga,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,606,2,3,0,1,2,2,0,0,1,1,0,1,1,5.0
watanyu01,Yuta Watanabe,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,829,2,4,1,3,0,0,2,1,1,0,0,0,1,5.0
redicjj01,J.J. Redick,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,750,2,5,2,5,0,0,0,3,1,0,0,0,0,4.9
theisda01,Daniel Theis,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1188,3,6,1,3,0,0,2,2,1,0,0,1,2,4.9
arcidry01,Ryan Arcidiacono,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,463,2,3,0,1,0,0,0,1,2,1,0,0,2,4.6
avdijde01,Deni Avdija,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,831,2,5,0,0,2,2,1,2,0,1,0,1,0,4.6
toppiob01,Obi Toppin,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,731,1,1,0,0,0,0,1,5,1,0,0,0,0,4.6
allengr01,Grayson Allen,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,1578,1,4,1,2,3,4,0,2,3,0,0,1,1,4.5
batumni01,Nicolas Batum,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,1568,1,2,0,1,0,0,1,3,4,1,1,2,2,4.3
poweldw01,Dwight Powell,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,686,3,4,0,0,0,0,1,2,0,0,0,1,1,4.3
coffeam01,Amir Coffey,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,1666,1,6,0,3,6,7,0,2,2,1,0,1,4,4.2
dedmode01,Dewayne Dedmon,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,880,3,5,0,0,0,0,2,1,0,1,0,1,3,4.2
bateske01,Keita Bates-Diop,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,246,1,1,0,0,2,2,0,1,0,0,0,0,0,4.0
