Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56787-12355,SG,Eric,Eric Bledsoe,Bledsoe,23.33,50,5800,PHI@NO,NO,PHI,,,,,,SG
56787-42156,PF,Bobby,Bobby Portis,Portis,24.05531862948803,47,5800,CHA@MIL,MIL,CHA,,,,,,PF
56787-84678,PF,Miles,Miles Bridges,Bridges,22.3839990234375,50,5800,CHA@MIL,CHA,MIL,,,,,,PF
56787-110349,SF,Rui,Rui Hachimura,Hachimura,24.926829268292682,41,5800,WAS@GS,WAS,GS,,,,,,SF
56787-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,22.733332881221063,27,5800,IND@ORL,ORL,IND,,,,,,PG
56787-49675,PG,Derrick,Derrick White,White,26.33199951171875,25,5700,SA@DEN,SA,DEN,,,,,,PG
56787-66064,SF,Malik,Malik Beasley,Beasley,29.767568227407093,37,5700,MIN@BOS,MIN,BOS,O,Hamstring,,,,SF
56787-23097,PG,Tomas,Tomas Satoransky,Satoransky,20.28974327674279,39,5700,CHI@ATL,CHI,ATL,,,,,,PG
56787-9637,PF,Danilo,Danilo Gallinari,Gallinari,21.30000064247533,38,5700,CHI@ATL,ATL,CHI,,,,,,PF
56787-9758,SF,Danny,Danny Green,Green,22.11176374846814,51,5500,PHI@NO,PHI,NO,,,,,,SF
56787-145576,PF,Jae'Sean,Jae'Sean Tate,Tate,23.99215638403799,51,5500,HOU@LAC,HOU,LAC,,,,,,PF
56787-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,24.71199951171875,50,5500,CHA@MIL,MIL,CHA,O,Hip,,,,SG
56787-23169,C,Steven,Steven Adams,Adams,24.695743641954788,47,5400,PHI@NO,NO,PHI,,,,,,C
56787-84704,SG,Kevin,Kevin Huerter,Huerter,23.85192401592548,52,5400,CHI@ATL,ATL,CHI,,,,,,SG
56787-84711,SG,Grayson,Grayson Allen,Allen,20.288889567057293,36,5400,MEM@NY,MEM,NY,,,,,,SG
56787-110338,SF,De'Andre,De'Andre Hunter,Hunter,28.120001220703124,20,5400,CHI@ATL,ATL,CHI,O,Knee,,,,SF
56787-110353,PF,Brandon,Brandon Clarke,Clarke,26.024390243902438,41,5400,MEM@NY,MEM,NY,GTD,Calf,,,,PF
56787-60233,SG,Dillon,Dillon Brooks,Brooks,26.24782661769701,46,5400,MEM@NY,MEM,NY,,,,,,SG
56787-9621,C,Brook,Brook Lopez,Lopez,23.723529890471813,51,5200,CHA@MIL,MIL,CHA,GTD,Back,,,,C
56787-15628,SF,Otto,Otto Porter,Porter,20.389286586216517,28,5100,IND@ORL,ORL,IND,O,Foot,,,,SF
56787-14523,PG,Reggie,Reggie Jackson,Jackson,18.16199951171875,50,5000,HOU@LAC,LAC,HOU,GTD,Eye,,,,PG
56787-110326,PG,Coby,Coby White,White,26.67659678357713,47,5000,CHI@ATL,CHI,ATL,,,,,,PG
56787-110347,SF,Keldon,Keldon Johnson,Johnson,25.628261400305707,46,5000,SA@DEN,SA,DEN,,,,,,SF
56787-80816,SG,Malik,Malik Monk,Monk,19.546875,32,5000,CHA@MIL,CHA,MIL,O,Ankle,,,,SG
56787-9957,PF,Serge,Serge Ibaka,Ibaka,24.6974362104367,39,4900,HOU@LAC,LAC,HOU,O,Back,,,,PF
56787-110359,C,Goga,Goga Bitadze,Bitadze,12.716129426033266,31,4900,IND@ORL,IND,ORL,,,,,,C
56787-15691,C,Cody,Cody Zeller,Zeller,23.31935562626008,31,4900,CHA@MIL,CHA,MIL,,,,,,C
56787-17491,SF,James,James Ennis,Ennis,17.426470588235293,34,4800,IND@ORL,ORL,IND,,,,,,SF
56787-145541,PG,R.J.,R.J. Hampton,Hampton,9.003226003339213,31,4800,IND@ORL,ORL,IND,,,,,,PG
56787-84691,PG,Shake,Shake Milton,Milton,22.1046511627907,43,4800,PHI@NO,PHI,NO,,,,,,PG
56787-84703,SG,De'Anthony,De'Anthony Melton,Melton,21.7971435546875,35,4800,MEM@NY,MEM,NY,O,Leg,,,,SG
56787-110339,SG,Cam,Cam Reddish,Reddish,21.588461068960335,26,4800,CHI@ATL,ATL,CHI,O,Achilles,,,,SG
56787-23825,C,Nerlens,Nerlens Noel,Noel,21.01086956521739,46,4800,MEM@NY,NY,MEM,,,,,,C
56787-145319,PF,Jaden,Jaden McDaniels,McDaniels,16.462221950954863,45,4800,MIN@BOS,MIN,BOS,,,,,,PF
56787-80811,SF,Jonathan,Jonathan Isaac,Isaac,32.2705867991728,34,4800,IND@ORL,ORL,IND,O,Knee,,,,SF
56787-145347,C,James,James Wiseman,Wiseman,21.71081048089105,37,4800,WAS@GS,GS,WAS,,,,,,C
56787-14512,PF,Marcus,Marcus Morris,Morris,20.253659132050306,41,4700,HOU@LAC,LAC,HOU,,,,,,PF
56787-9475,PG,Derrick,Derrick Rose,Rose,24.538710071194558,31,4700,MEM@NY,NY,MEM,,,,,,PG
56787-145304,C,Onyeka,Onyeka Okongwu,Okongwu,10.383333333333333,30,4700,CHI@ATL,ATL,CHI,,,,,,C
56787-80812,PF,Lauri,Lauri Markkanen,Markkanen,25.973333740234374,30,4700,CHI@ATL,CHI,ATL,,,,,,PF
56787-145327,PG,Cole,Cole Anthony,Anthony,23.303847092848557,26,4700,IND@ORL,ORL,IND,,,,,,PG
56787-9873,C,Robin,Robin Lopez,Lopez,16.565999755859377,50,4600,WAS@GS,WAS,GS,,,,,,C
56787-70827,C,Ivica,Ivica Zubac,Zubac,21.76603727520637,53,4600,HOU@LAC,LAC,HOU,,,,,,C
56787-14510,SG,Alec,Alec Burks,Burks,23.282499694824217,40,4600,MEM@NY,NY,MEM,,,,,,SG
56787-16604,SF,Justin,Justin Holiday,Holiday,22.21,50,4600,IND@ORL,IND,ORL,,,,,,SF
56787-16790,PG,Brad,Brad Wanamaker,Wanamaker,12.456817626953125,44,4600,CHA@MIL,CHA,MIL,,,,,,PG
56787-9662,SG,Lou,Lou Williams,Williams,21.45744680851064,47,4600,CHI@ATL,ATL,CHI,,,,,,SG
56787-84702,SG,Lonnie,Lonnie Walker,Walker,18.921620961782093,37,4500,SA@DEN,SA,DEN,,,,,,SG
56787-110315,SG,Terance,Terance Mann,Mann,14.014000244140625,50,4500,HOU@LAC,LAC,HOU,,,,,,SG
56787-145308,SF,Patrick,Patrick Williams,Williams,20.622448979591837,49,4500,CHI@ATL,CHI,ATL,,,,,,SF
56787-9729,PF,Paul,Paul Millsap,Millsap,21.522500610351564,40,4400,SA@DEN,DEN,SA,,,,,,PF
56787-15947,SG,Reggie,Reggie Bullock,Bullock,17.82000054253472,45,4400,MEM@NY,NY,MEM,,,,,,SG
56787-9809,SF,Nicolas,Nicolas Batum,Batum,21.4439990234375,50,4400,HOU@LAC,LAC,HOU,,,,,,SF
56787-145491,PF,Nathan,Nathan Knight,Knight,7.586363358931108,22,4400,CHI@ATL,ATL,CHI,,,,,,PF
56787-81529,PF,Daniel,Daniel Theis,Theis,21.74468085106383,47,4400,CHI@ATL,CHI,ATL,,,,,,PF
56787-145539,SF,Deni,Deni Avdija,Avdija,16.034782077955164,46,4400,WAS@GS,WAS,GS,,,,,,SF
56787-84675,C,Mo,Mo Bamba,Bamba,14.803447854929956,29,4400,IND@ORL,ORL,IND,,,,,,C
56787-15583,SG,Seth,Seth Curry,Curry,21.207499694824218,40,4400,PHI@NO,PHI,NO,,,,,,SG
56787-9446,PG,Jeff,Jeff Teague,Teague,13.768421373869243,38,4400,CHA@MIL,MIL,CHA,,,,,,PG
56787-9556,SF,Eric,Eric Gordon,Gordon,25.44814724392361,27,4400,HOU@LAC,HOU,LAC,O,Groin,,,,SF
56787-9577,PF,Rudy,Rudy Gay,Gay,22.36904761904762,42,4400,SA@DEN,SA,DEN,,,,,,PF
