Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57454-145819,SF,Naji,Naji Marshall,Marshall,15.070588953354779,17,4300,BKN@NO,NO,BKN,,,,,,SF
57454-9508,SF,Carmelo,Carmelo Anthony,Anthony,22.767271839488636,55,4200,LAC@POR,POR,LAC,,,,,,SF
57454-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,17.01578883120888,38,4200,MIN@SAC,MIN,SAC,,,,,,PG
57454-145319,PF,Jaden,Jaden McDaniels,McDaniels,16.51764753753064,51,4200,MIN@SAC,MIN,SAC,,,,,,PF
57454-9662,SG,Lou,Lou Williams,Williams,20.67115431565505,52,4200,ORL@ATL,ATL,ORL,,,,,,SG
57454-84679,PF,Marvin,Marvin Bagley,Bagley,25.87837837837838,37,4200,MIN@SAC,SAC,MIN,O,Hand,,,,PF
57454-23802,PG,Kris,Kris Dunn,Dunn,22.386273552389707,51,4200,ORL@ATL,ATL,ORL,O,Ankle,,,,PG
57454-145485,PG,LaMelo,LaMelo Ball,Ball,35.08536585365854,41,4100,CHA@NY,CHA,NY,O,Wrist,,,,PG
57454-19138,PG,Elfrid,Elfrid Payton,Payton,22.457143355389032,49,4100,CHA@NY,NY,CHA,,,,,,PG
57454-15628,SF,Otto,Otto Porter,Porter,20.389286586216517,28,4000,ORL@ATL,ORL,ATL,O,Foot,,,,SF
57454-110351,SG,Cody,Cody Martin,Martin,10.918181679465555,44,4000,CHA@NY,CHA,NY,,,,,,SG
57454-110354,PF,Nicolas,Nicolas Claxton,Claxton,19.45199951171875,25,4000,BKN@NO,BKN,NO,O,Covid-19,,,,PF
57454-145304,C,Onyeka,Onyeka Okongwu,Okongwu,10.497142682756696,35,4000,ORL@ATL,ATL,ORL,,,,,,C
57454-9957,PF,Serge,Serge Ibaka,Ibaka,24.6974362104367,39,4000,LAC@POR,LAC,POR,O,Back,,,,PF
57454-84721,PF,Jarred,Jarred Vanderbilt,Vanderbilt,17.87800048828125,50,4000,MIN@SAC,MIN,SAC,,,,,,PF
57454-63127,C,Willy,Willy Hernangomez,Hernangomez,17.37878787878788,33,3900,BKN@NO,NO,BKN,,,,,,C
57454-84689,SF,Josh,Josh Okogie,Okogie,13.679999457465279,45,3900,MIN@SAC,MIN,SAC,,,,,,SF
57454-66061,SG,Dwayne,Dwayne Bacon,Bacon,17.14385986328125,57,3800,ORL@ATL,ORL,ATL,,,,,,SG
57454-15947,SG,Reggie,Reggie Bullock,Bullock,18.150980631510418,51,3800,CHA@NY,NY,CHA,,,,,,SG
57454-70822,PF,Juancho,Juancho Hernangomez,Hernangomez,13.394872420873398,39,3800,MIN@SAC,MIN,SAC,,,,,,PF
57454-14510,SG,Alec,Alec Burks,Burks,23.1045448996804,44,3800,CHA@NY,NY,CHA,O,Covid-19,,,,SG
57454-113267,SF,Caleb,Caleb Martin,Martin,12.261904761904763,42,3700,CHA@NY,CHA,NY,,,,,,SF
57454-16790,PG,Brad,Brad Wanamaker,Wanamaker,12.914000244140626,50,3700,CHA@NY,CHA,NY,,,,,,PG
57454-84717,PG,Anfernee,Anfernee Simons,Simons,12.995833079020182,48,3700,LAC@POR,POR,LAC,,,,,,PG
