Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56827-145341,SG,Isaac,Isaac Okoro,Okoro,17.019565748131793,46,4000,TOR@CLE,CLE,TOR,,,,,,SG
56827-145533,PF,Kenyon,Kenyon Martin,Martin,17.27199951171875,25,3900,HOU@GS,HOU,GS,,,,,,PF
56827-12511,PG,Ish,Ish Smith,Smith,17.791304878566574,23,3900,WAS@PHO,WAS,PHO,,,,,,PG
56827-9466,PG,D.J.,D.J. Augustin,Augustin,14.230611995774872,49,3900,HOU@GS,HOU,GS,,,,,,PG
56827-9561,C,DeAndre,DeAndre Jordan,Jordan,21.623913308848504,46,3900,LAL@BKN,BKN,LAL,,,,,,C
56827-15727,SG,Ben,Ben McLemore,McLemore,12.381818366773201,33,3900,LAL@BKN,LAL,BKN,,,,,,SG
56827-66968,SF,Derrick,Derrick Jones,Jones,18.652173913043477,46,3900,DET@POR,POR,DET,,,,,,SF
56827-145310,PG,Saben,Saben Lee,Lee,14.603333536783854,30,3900,DET@POR,DET,POR,,,,,,PG
56827-37931,C,Aron,Aron Baynes,Baynes,14.585714534837372,49,3800,TOR@CLE,TOR,CLE,,,,,,C
56827-70825,SF,Timothe,Timothe Luwawu-Cabarrot,Luwawu-Cabarrot,13.0977783203125,45,3800,LAL@BKN,BKN,LAL,,,,,,SF
56827-84717,PG,Anfernee,Anfernee Simons,Simons,12.959091186523438,44,3800,DET@POR,POR,DET,,,,,,PG
56827-84718,PF,Alize,Alize Johnson,Johnson,19.719999694824217,5,3800,LAL@BKN,BKN,LAL,,,,,,PF
56827-110325,PF,Daniel,Daniel Gafford,Gafford,13.978787508877842,33,3800,WAS@PHO,WAS,PHO,O,Ankle,,,,PF
56827-85238,SG,Yuta,Yuta Watanabe,Watanabe,9.73939375443892,33,3800,TOR@CLE,TOR,CLE,,,,,,SG
56827-40208,PG,Raul,Raul Neto,Neto,16.764444986979168,45,3800,WAS@PHO,WAS,PHO,,,,,,PG
56827-20277,SG,Torrey,Torrey Craig,Craig,11.524138351966595,29,3800,WAS@PHO,PHO,WAS,,,,,,SG
56827-12334,SG,Avery,Avery Bradley,Bradley,13.835293938131894,17,3700,HOU@GS,HOU,GS,,,,,,SG
56827-117301,PF,Devontae,Devontae Cacok,Cacok,6.669230534480168,13,3700,LAL@BKN,LAL,BKN,,,,,,PF
56827-63126,SF,Cedi,Cedi Osman,Osman,19.85434756071671,46,3700,TOR@CLE,CLE,TOR,,,,,,SF
56827-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,14.807316477705793,41,3700,PHI@OKC,PHI,OKC,,,,,,SG
56827-58576,C,Kevon,Kevon Looney,Looney,12.882927127000762,41,3700,HOU@GS,GS,HOU,,,,,,C
56827-97018,PG,Chris,Chris Chiozza,Chiozza,10.669999694824218,20,3700,LAL@BKN,BKN,LAL,,,,,,PG
56827-110343,SF,Nassir,Nassir Little,Little,10.646875381469727,32,3700,DET@POR,POR,DET,,,,,,SF
56827-145329,SF,Paul,Paul Reed,Reed,7.778571537562779,14,3700,PHI@OKC,PHI,OKC,,,,,,SF
56827-48567,PG,Cameron,Cameron Payne,Payne,16.24250030517578,40,3700,WAS@PHO,PHO,WAS,,,,,,PG
56827-145345,PG,Nico,Nico Mannion,Mannion,12.18421052631579,19,3700,HOU@GS,GS,HOU,,,,,,PG
56827-16368,PF,Mike,Mike Scott,Scott,9.954545454545455,33,3700,PHI@OKC,PHI,OKC,,,,,,PF
56827-111622,SF,Garrison,Garrison Mathews,Mathews,10.831110975477431,45,3600,WAS@PHO,WAS,PHO,,,,,,SF
56827-117779,PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,14.294285365513392,35,3600,HOU@GS,GS,HOU,GTD,Elbow,,,,PF
56827-110639,PF,Sekou,Sekou Doumbouya,Doumbouya,7.858139392941497,43,3600,DET@POR,DET,POR,,,,,,PF
56827-23156,PF,Georges,Georges Niang,Niang,9.476922842172476,52,3600,SAC@UTA,UTA,SAC,,,,,,PF
56827-58083,C,Jahlil,Jahlil Okafor,Okafor,8.76923076923077,13,3600,DET@POR,DET,POR,,,,,,C
56827-9956,SG,Wayne,Wayne Ellington,Ellington,15.25,38,3600,DET@POR,DET,POR,O,Rest,,,,SG
56827-110320,SF,Matisse,Matisse Thybulle,Thybulle,14.18979566924426,49,3600,PHI@OKC,PHI,OKC,,,,,,SF
56827-111371,PG,Justin,Justin Robinson,Robinson,10.266666412353516,3,3600,PHI@OKC,OKC,PHI,,,,,,PG
56827-16178,SF,Maurice,Maurice Harkless,Harkless,6.283333248562283,18,3600,SAC@UTA,SAC,UTA,,,,,,SF
56827-58295,PF,D.J.,D.J. Wilson,Wilson,9.617391171662703,23,3600,HOU@GS,HOU,GS,,,,,,PF
56827-80824,PG,Frank,Frank Jackson,Jackson,9.508695519488791,23,3600,DET@POR,DET,POR,,,,,,PG
56827-18376,SG,Damion,Damion Lee,Lee,13.96078431372549,51,3600,HOU@GS,GS,HOU,,,,,,SG
56827-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,3.906666564941406,30,3500,LAL@BKN,LAL,BKN,,,,,,SF
56827-101393,SG,Paul,Paul Watson,Watson,6.0625,24,3500,TOR@CLE,TOR,CLE,O,Covid-19,,,,SG
56827-117273,SF,Mychal,Mychal Mulder,Mulder,6.2439024390243905,41,3500,HOU@GS,GS,HOU,,,,,,SF
56827-117274,PF,Chris,Chris Silva,Silva,6.169230534480168,13,3500,SAC@UTA,SAC,UTA,,,,,,PF
56827-117289,PF,Juwan,Juwan Morgan,Morgan,2.8000000401547083,19,3500,SAC@UTA,UTA,SAC,GTD,Calf,,,,PF
56827-117291,SG,Armoni,Armoni Brooks,Brooks,1.2000000476837158,1,3500,HOU@GS,HOU,GS,,,,,,SG
56827-110638,SF,Deividas,Deividas Sirvydis,Sirvydis,2.241666634877523,12,3500,DET@POR,DET,POR,,,,,,SF
56827-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,7.015789634303043,19,3500,HOU@GS,HOU,GS,,,,,,SF
56827-117821,PG,Keljin,Keljin Blevins,Blevins,1.5399999618530273,10,3500,DET@POR,POR,DET,,,,,,PG
56827-16448,PF,Frank,Frank Kaminsky,Kaminsky,15.112500190734863,32,3500,WAS@PHO,PHO,WAS,,,,,,PF
56827-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,14.25,4,3500,TOR@CLE,CLE,TOR,,,,,,PG
56827-41082,C,Damian,Damian Jones,Jones,7.104545593261719,22,3500,SAC@UTA,SAC,UTA,GTD,Not injury related,,,,C
56827-23676,PG,Damyean,Damyean Dotson,Dotson,12.82857142857143,35,3500,TOR@CLE,CLE,TOR,,,,,,PG
56827-145548,PF,Anthony,Anthony Gill,Gill,4.074999809265137,16,3500,WAS@PHO,WAS,PHO,,,,,,PF
56827-58519,SG,Gary,Gary Payton II,Payton II,13.137931034482758,29,3500,HOU@GS,GS,HOU,,,,,,SG
56827-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,17.74333292643229,60,3500,DET@POR,POR,DET,,,,,,PF
56827-14509,SG,Klay,Klay Thompson,Thompson,,,3500,HOU@GS,GS,HOU,O,Achilles,,,,SG
