iter	Passed	Remaining
545	8192	6812
546	8201	6792
547	8211	6772
548	8220	6753
549	8231	6734
550	8242	6716
551	8251	6696
552	8260	6676
553	8268	6656
554	8277	6636
555	8286	6617
556	8295	6597
557	8304	6578
558	8313	6558
559	8322	6539
560	8331	6519
561	8343	6502
562	8354	6484
563	8363	6465
564	8374	6447
565	8384	6429
566	8395	6411
567	8405	6392
568	8415	6374
569	8425	6355
570	8434	6336
571	8444	6318
572	8454	6300
573	8462	6280
574	8483	6270
575	8497	6255
576	8510	6238
577	8521	6221
578	8534	6205
579	8544	6187
580	8553	6168
581	8564	6150
582	8574	6133
583	8585	6115
584	8595	6097
585	8605	6079
586	8614	6061
587	8624	6043
588	8634	6025
589	8644	6007
590	8654	5989
591	8664	5971
592	8673	5953
593	8683	5935
594	8693	5917
595	8703	5899
596	8713	5881
597	8722	5863
598	8731	5844
599	8740	5826
600	8749	5808
601	8759	5790
602	8769	5773
603	8779	5755
604	8789	5738
605	8798	5720
606	8808	5702
607	8818	5685
608	8827	5667
609	8837	5650
610	8847	5632
611	8856	5614
612	8865	5596
613	8873	5578
614	8883	5561
615	8892	5543
616	8901	5525
617	8910	5507
618	8919	5489
619	8927	5471
620	8936	5454
621	8945	5436
622	8954	5418
623	8963	5401
624	8972	5383
625	8981	5366
626	8990	5348
627	8998	5330
628	9007	5313
629	9016	5295
630	9025	5277
631	9034	5260
632	9043	5243
633	9052	5225
634	9061	5208
635	9070	5191
636	9080	5174
637	9089	5157
638	9098	5140
639	9107	5122
640	9121	5108
641	9130	5091
642	9139	5074
643	9148	5057
644	9156	5039
645	9167	5023
646	9176	5006
647	9185	4989
648	9194	4972
649	9204	4956
650	9213	4939
651	9222	4922
652	9230	4905
653	9239	4888
654	9249	4871
655	9328	4891
656	9350	4881
657	9363	4866
658	9374	4850
659	9384	4834
660	9394	4817
661	9403	4801
662	9412	4784
663	9422	4767
664	9432	4751
665	9442	4735
666	9452	4719
667	9464	4703
668	9476	4688
669	9486	4672
670	9496	4656
671	9506	4639
672	9516	4623
673	9527	4608
674	9543	4594
675	9551	4578
676	9563	4562
677	9576	4548
678	9587	4532
679	9603	4519
680	9612	4502
681	9622	4486
682	9632	4470
683	9642	4454
684	9652	4438
685	9661	4422
686	9671	4406
687	9680	4390
688	9689	4373
689	9698	4357
690	9708	4341
691	9718	4325
692	9729	4309
693	9738	4293
694	9749	4278
695	9759	4262
696	9769	4247
697	9780	4231
698	9790	4215
699	9799	4199
700	9808	4183
701	9817	4167
702	9826	4151
703	9835	4135
704	9844	4119
705	9853	4103
706	9861	4086
707	9871	4071
708	9880	4055
709	9889	4039
710	9897	4023
711	9906	4007
712	9915	3991
713	9924	3975
714	9933	3959
715	9942	3943
716	9951	3927
717	10017	3934
718	10044	3925
719	10056	3910
720	10066	3895
721	10078	3880
722	10088	3865
723	10097	3849
724	10106	3833
725	10115	3817
726	10123	3801
727	10133	3786
728	10142	3770
729	10151	3754
730	10160	3738
731	10169	3723
732	10178	3707
733	10187	3692
734	10196	3676
735	10205	3660
736	10213	3644
737	10222	3629
738	10231	3613
739	10240	3598
740	10249	3582
741	10259	3567
742	10268	3551
743	10277	3536
744	10285	3520
745	10295	3505
746	10304	3490
747	10314	3474
748	10324	3460
749	10339	3446
750	10349	3431
751	10358	3416
752	10369	3401
753	10379	3386
754	10389	3371
755	10398	3356
756	10408	3341
757	10418	3326
758	10428	3311
759	10438	3296
760	10448	3281
761	10458	3266
762	10468	3251
763	10478	3236
764	10487	3221
765	10496	3206
766	10507	3191
767	10516	3176
768	10526	3162
769	10536	3147
770	10549	3133
771	10567	3120
772	10583	3107
773	10596	3094
774	10605	3079
775	10614	3063
776	10623	3049
777	10633	3034
778	10644	3019
779	10654	3005
780	10664	2990
781	10674	2975
782	10685	2961
783	10694	2946
784	10704	2931
785	10714	2917
786	10725	2902
787	10734	2888
788	10745	2873
789	10755	2859
790	10764	2844
791	10773	2829
792	10782	2814
793	10791	2799
794	10800	2785
795	10809	2770
796	10818	2755
797	10827	2740
798	10837	2726
799	10845	2711
800	10854	2696
801	10864	2682
802	10872	2667
803	10882	2652
804	10891	2638
805	10900	2623
806	10909	2609
807	10918	2594
808	10926	2579
809	10936	2565
810	10945	2550
811	10954	2536
812	10963	2521
813	10972	2507
814	10981	2492
815	10990	2478
816	10999	2463
817	11007	2449
818	11016	2434
819	11025	2420
820	11034	2405
821	11043	2391
822	11052	2377
823	11061	2362
824	11072	2348
825	11082	2334
826	11090	2320
827	11099	2305
828	11108	2291
829	11117	2277
830	11126	2262
831	11135	2248
832	11144	2234
833	11153	2219
834	11162	2205
835	11170	2191
836	11180	2177
837	11189	2163
838	11197	2148
839	11206	2134
840	11215	2120
841	11224	2106
842	11234	2092
843	11242	2078
844	11251	2063
845	11260	2049
846	11270	2035
847	11278	2021
848	11287	2007
849	11298	1993
850	11308	1979
851	11317	1966
852	11333	1953
853	11342	1939
854	11352	1925
855	11362	1911
856	11371	1897
857	11380	1883
858	11390	1869
859	11399	1855
860	11409	1841
861	11417	1827
862	11428	1814
863	11438	1800
864	11447	1786
865	11457	1772
866	11466	1759
867	11476	1745
868	11484	1731
869	11495	1717
870	11504	1703
871	11514	1690
872	11524	1676
873	11533	1662
874	11542	1648
875	11552	1635
876	11562	1621
877	11572	1607
878	11580	1594
879	11590	1580
880	11605	1567
881	11623	1555
882	11632	1541
883	11642	1527
884	11657	1514
885	11667	1501
886	11677	1487
887	11686	1473
888	11696	1460
889	11706	1446
890	11716	1433
891	11726	1419
892	11736	1406
893	11744	1392
894	11754	1379
895	11764	1365
896	11773	1351
897	11782	1338
898	11791	1324
899	11800	1311
900	11809	1297
901	11818	1284
902	11827	1270
903	11836	1256
904	11845	1243
905	11854	1229
906	11863	1216
907	11872	1202
908	11881	1189
909	11890	1176
910	11922	1164
911	11932	1151
912	11941	1137
913	11950	1124
914	11959	1110
915	11968	1097
916	11977	1084
917	11986	1070
918	11995	1057
919	12005	1043
920	12014	1030
921	12023	1017
922	12032	1003
923	12041	990
924	12050	977
925	12059	963
926	12068	950
927	12077	937
928	12086	923
929	12095	910
930	12104	897
931	12113	883
932	12122	870
933	12131	857
934	12140	843
935	12149	830
936	12158	817
937	12167	804
938	12176	791
939	12186	777
940	12194	764
941	12203	751
942	12212	738
943	12221	725
944	12230	711
945	12239	698
946	12248	685
947	12258	672
948	12269	659
949	12277	646
950	12287	633
951	12296	619
952	12305	606
953	12316	593
954	12326	580
955	12338	567
956	12351	554
957	12361	541
958	12374	529
959	12384	516
960	12393	502
961	12403	489
962	12413	476
963	12423	463
964	12433	450
965	12443	437
966	12453	424
967	12463	412
968	12473	399
969	12482	386
970	12493	373
971	12503	360
972	12513	347
973	12521	334
974	12531	321
975	12542	308
976	12551	295
977	12561	282
978	12571	269
979	12581	256
980	12591	243
981	12601	230
982	12612	218
983	12621	205
984	12631	192
985	12642	179
986	12650	166
987	12660	153
988	12677	140
989	12695	128
990	12705	115
991	12718	102
992	12727	89
993	12737	76
994	12747	64
995	12756	51
996	12765	38
997	12774	25
998	12784	12
999	12792	0
